URL,media,is_nyhed,type_article,date,countries
https://www.dr.dk/nyheder/udland/eu/donald-trump-og-egyptens-praesident-forventes-bevaerte-fredstopmoede-i-morgen,DR,1,udland,2025-10-12,"Denmark, Egypt, France, Israel, Italy, Palestine, Qatar, Turkey, United Kingdom"
https://www.dr.dk/nyheder/udland/israelere-paa-gidselpladsen-netanyahu-skal-ud-hurtigst-muligt,DR,1,udland,2025-10-12,"Israel, Palestine"
https://www.dr.dk/nyheder/seneste/bybus-paakoerer-bygning-i-indre-koebenhavn-tre-personer-er-paa-skadestuen,DR,1,seneste,2025-10-12,NO_COUNTRIES
https://www.dr.dk/sporten/cykling/counter-strike-er-byttet-ud-med-cykling-jacob-har-faaet-wildcard-til-vm,DR,0,sporten,2025-10-12,"Denmark, Netherlands, Rwanda"
https://www.dr.dk/nyheder/indland/forsoeg-med-unge-kontrolkoebere-af-tobak-og-alkohol-forlaenges-aar,DR,1,indland,2025-10-12,Denmark
https://www.dr.dk/nyheder/indland/skoleleder-pauser-kan-mindske-skolevaegring-blandt-boern,DR,1,indland,2025-10-12,NO_COUNTRIES
https://www.dr.dk/nyheder/regionale/nordjylland/nye-regler-faar-bilister-til-stroemme-til-daekcentrene,DR,1,regionale,2025-10-12,NO_COUNTRIES
https://www.dr.dk/nyheder/indland/mange-flere-besoeger-landets-museer-saerligt-en-gruppe-skiller-sig-ud,DR,1,indland,2025-10-12,Denmark
https://www.dr.dk/nyheder/udland/derfor-ringede-nobelpris-modtager-straks-til-trump-og-takkede-ham,DR,1,udland,2025-10-12,"China, Russia, United States of America, Venezuela"
https://www.dr.dk/sporten/tennis/foerst-slog-han-djokovic-og-nu-moeder-han-sin-faetter-i-usandsynlig-finale,DR,0,sporten,2025-10-12,"Denmark, France, Monaco"
